2018 SOC Code,2018 SOC Direct Match Title
25-1194,Electronics Technology Instructor
25-1194,HVAC Instructor
25-1194,Industrial Electrical Technology Instructor
25-1194,Industrial Maintenance Instructor
25-1194,Machine Tool Technician Instructor
25-1194,Masonry Instructor
25-1194,Mechanical Maintenance Instructor
25-1194,Paralegal Instructor
25-1194,Residential Construction Instructor
25-1194,Skin Care Instructor
25-1194,Upholstery Instructor
25-1194,Vocational Horticulture Instructor
25-1194,Welding Instructor
25-1199,Flight Simulator Instructor
25-1199,Military Science Instructor
25-1199,Packaging Professor
25-2011,Early Childhood Teacher
25-2011,Head Start Teacher
25-2011,Home-based Preschool Teacher
25-2011,Nursery School Teacher
25-2011,Nursery Teacher
25-2011,Pre-K Teacher
25-2011,Pre-Kindergarten Teacher
25-2011,Preschool Head Start Teacher
25-2011,Preschool Teacher
25-2012,Bilingual Education Kindergarten Teacher
25-2012,Kindergarten Teacher
25-2021,3rd Grade Reading Teacher
25-2021,4th Grade Math Teacher
25-2021,Elementary School Music Teacher
25-2021,Elementary School Teacher
25-2021,Grades 1 Through 5 Teacher
25-2022,Intermediate School Social Studies Teacher
25-2022,Junior High School Teacher
25-2022,Middle School PE Teacher
25-2022,Middle School Science Teacher
25-2023,Junior High School Business Teacher
25-2023,Middle School Technology Education Teacher
25-2031,High School Algebra Teacher
25-2031,High School Biology Teacher
25-2031,High School English Teacher
25-2031,High School French Teacher
25-2031,High School History Teacher
25-2031,High School Math Teacher
25-2031,High School Teacher
25-2032,High School Auto Repair Teacher
25-2032,High School Cosmetology Teacher
25-2051,Early Childhood Special Education Teacher
25-2051,Early Childhood Special Educator
25-2051,Pre-K Special Education Teacher
25-2051,Pre-Kindergarten Education Intervention Teacher
25-2051,Pre-Kindergarten Special Education Teacher
25-2051,Special Education Preschool Teacher
25-2055,Kindergarten Special Education Teacher
25-2056,Elementary School Inclusion Teacher
25-2057,Junior High School Special Education Teacher
25-2057,Middle School Special Education Teacher
25-2058,High School Special Education Resource Teacher
25-2059,Special Education Teacher for Adults with Disabilities
25-3011,Adult Basic Studies Teacher
25-3011,Adult Education Teacher
25-3011,Adult English as a Second Language (ESL) Teacher
25-3011,Adult Literacy Instructor
25-3011,Adult Literacy Teacher
25-3011,Adult Remedial Education Instructor
25-3011,GED® Instructor
25-3011,General Educational Development (GED®) Teacher
25-3011,General Educational Development Teacher
25-3021,Citizenship Teacher
25-3021,Driver Education Instructor
25-3021,Knitting Instructor
25-3021,Recreational Activities Instructor
25-3031,Elementary School Substitute Teacher
25-3031,English Substitute Teacher
25-3041,Algebra Tutor
25-3041,Reading Tutor
25-3041,Spanish Tutor
25-3041,Standardized Test Tutor
25-3099,Sunday School Teacher
25-4011,Digital Archivist
25-4011,Film Archivist
25-4011,Historical Records Administrator
25-4011,Image Archivist
25-4011,Museum Archivist
25-4011,Processing Archivist
25-4011,Reference Archivist
25-4011,State Archivist
25-4012,Collections and Archives Director
25-4012,Collections Curator
25-4012,Educational Institution Curator
25-4012,Exhibitions and Collections Manager
25-4012,Herbarium Curator
25-4012,Museum Curator
25-4012,Photography and Prints Curator
25-4013,Art Conservator
25-4013,Art Handler
25-4013,Conservation Technician
25-4013,Ethnographic Materials Conservator
25-4013,Museum Exhibit Technician
25-4013,Objects Conservator
25-4013,Paintings Conservator
25-4013,Paper Conservator
25-4013,Textile Conservator
25-4022,Acquisitions Librarian
25-4022,Audio-Visual Collections Coordinator
25-4022,Catalog Librarian
25-4022,Children's Librarian
25-4022,Collection Development Librarian
25-4022,College Librarian
25-4022,Electronic Resources Librarian
25-4022,Film Librarian
25-4022,Government Documents Librarian
25-4022,High School Librarian
25-4022,Interlibrary Loan Services Librarian
25-4022,Law Librarian
25-4022,Library Media Specialist
25-4022,Medical Librarian
25-4022,Multimedia Services Coordinator
25-4022,Music Librarian
25-4022,Periodicals Librarian
25-4022,Record Librarian
25-4022,Reference Librarian
25-4022,Research Librarian
25-4022,School Librarian
25-4022,Serials Librarian
25-4022,Technical Services Librarian
25-4022,University Librarian
25-4022,Youth Services Librarian
25-4031,Cataloging Library Technical Assistant
25-4031,Library Acquisitions Technician
25-4031,Library Cataloging Technician
25-4031,Library Circulation Technician
25-4031,Library Technical Assistant
25-4031,Serials or Bindery Library Technical Assistant
25-9021,4-H Youth Development Specialist
25-9021,Agricultural Agent
25-9021,Agricultural Extension Educator
25-9021,Extension Service Advisor
25-9021,Family and Consumer Sciences Extension Agent
25-9021,Family Resource Management Specialist
25-9021,Farm Business Management Agent
25-9021,Farm Management Specialist
25-9021,Feed Management Advisor
25-9021,Home Economics Expert
25-9031,Curriculum and Assessment Director
25-9031,Curriculum and Instruction Director
25-9031,Curriculum Coordinator
25-9031,Curriculum Designer
25-9031,Curriculum Specialist
25-9031,Instructional Materials Director
25-9031,School Curriculum Developer
25-9031,Special Education Curriculum Specialist
25-9042,Elementary Learning Support Aide
25-9042,Elementary School Reading Aide
25-9042,High School Basic Skills Improvement Program Instructional Aide
25-9042,Middle School Paraeducator
25-9042,Secondary School Assistant Teacher
25-9043,Special Education Aide
25-9043,Special Education Classroom Aide
25-9043,Special Education Instructional Assistant
25-9043,Special Education Paraeducator
25-9043,Special Education Paraprofessional
25-9043,Special Education Teaching Assistant
25-9044,Assistant Instructor
25-9044,College Biology Teaching Assistant
25-9044,University Teaching Assistant
25-9049,Adult ESL Teacher Aide
25-9049,Adult Literacy Teaching Aide
25-9049,Sunday School Teacher Aide
25-9099,Aptitude Test (SAT) Grader
25-9099,General Educational Development (GED®) Examiner
27-1011,Magazine Designer
27-1012,Hand Potter
27-1012,Metal Crafts Artist
27-1012,Quilter
27-1013,Book Illustrator
27-1013,Caricature Artist
27-1013,Comic Artist
27-1013,Comic Book Artist
27-1013,Comic Illustrator
27-1013,Commercial Artist
27-1013,Concrete Sculptor
27-1013,Editorial Cartoonist
27-1013,Fashion Illustrator
27-1013,Free Lance Artist
27-1013,Fresco Artist
27-1013,Glass Artist
27-1013,Ice Sculptor
27-1013,Medical Illustrator
27-1013,Mural Painter
27-1013,Muralist
27-1013,Non-Representational Metal Sculptor
27-1013,Oil Painter
27-1013,Pattern Illustrator
27-1013,Political Cartoonist
27-1013,Portrait Artist
27-1013,Portrait Painter
27-1013,Scientific Illustrator
27-1013,Sketch Artist
27-1013,Sports Cartoonist
27-1013,Stained Glass Artist
27-1013,Water Colorist
27-1013,Watercolor Artist
27-1014,3D Animator
27-1014,Animator
27-1014,Multimedia Artist
27-1014,Special Effects Artist
27-1019,Calligrapher
27-1019,Tattoo Artist
27-1021,Automobile Designer
27-1021,Bank Note Designer
27-1021,Bicycle Designer
27-1021,Car Body Designer
27-1021,Ceramic Designer
27-1021,Ceramic Mold Designer
27-1021,Furniture Designer
27-1021,Package Designer
27-1021,Rug Designer
27-1021,Snowboard Designer
27-1021,Textile Designer
27-1021,Tile Designer
27-1021,Toy Designer
27-1022,Apparel Designer
27-1022,Clothes Designer
27-1022,Clothing Designer
27-1022,Costume Designer
27-1022,Custom Furrier
27-1022,Dance Costume Designer
27-1022,Dress Designer
27-1022,Hat Designer
27-1022,Sweater Designer
27-1022,Uniform Designer
27-1023,Corsage Maker
27-1023,Floral Arranger
27-1023,Floral Artist
27-1023,Floral Decorator
27-1023,Florist
27-1023,Florist Designer
27-1023,Flower Arranger
27-1024,Graphic Artist
27-1024,Visual Designer
27-1025,Certified Kitchen Designer
27-1025,Furniture Arranger
27-1025,Home Lighting Adviser
27-1025,Interior Decorator
27-1025,Interior Designer
27-1025,Kitchen and Bath Designer
27-1025,Kitchen Designer
27-1026,Display Artist
27-1026,Display Decorator
27-1026,Display Designer
27-1026,Display Specialist
27-1026,Mannequin Decorator
27-1026,Merchandise Displayer
27-1026,Show Floor Decorator
27-1026,Visual Merchandiser
27-1026,Visual Merchandising Specialist
27-1026,Window Decorator
27-1026,Window Draper
27-1026,Window Dresser
27-1026,Window Trimmer
27-1027,Scenic Designer
27-1027,Set Decorator
27-1027,Set Designer
27-1027,Stage Scenery Designer
27-1027,Theater Set Production Designer
27-1029,Memorial Marker Designer
27-2011,Actor Understudy
27-2011,Actress
27-2011,Dramatic Reader
27-2011,Elocutionist
27-2011,Monologist
27-2011,Vaudeville Actor
27-2011,Voice-Over Artist
27-2012,Broadcast Producer
27-2012,Casting Director
27-2012,Film Maker
27-2012,Independent Film Maker
27-2012,Independent Video Producer
27-2012,Motion Picture Director
27-2012,Movie Producer
27-2012,Music Video Director
27-2012,Music Video Producer
27-2012,News Production Supervisor
27-2012,Newscast Director
27-2012,Newscast Producer
27-2012,On-Air Director
27-2012,Pageant Director
27-2012,Radio and Television Technical Director
27-2012,Radio Producer
27-2012,Stage Manager
27-2012,Television News Producer
27-2012,Television Newscast Director
27-2012,Television Producer
27-2012,Television Program Director
27-2012,Theater Company Producer
27-2012,Video Producer
27-2021,National Association for Stock Car Auto Racing Driver
27-2021,Profession Cyclist
27-2021,Professional All Terrain Vehicle Racer
27-2021,Professional Athlete
27-2021,Professional Auto Racer
27-2021,Professional Baseball Pitcher
27-2021,Professional Baseball Player
27-2021,Professional Basketball Player
27-2021,Professional Bass Fisher
27-2021,Professional Bicycle Racer
27-2021,Professional Bicyclist
27-2021,Professional Billiard Player
27-2021,Professional Bowler
27-2021,Professional Bull Rider
27-2021,Professional Car Racer
27-2021,Professional Dirt Bike Racer
27-2021,Professional Drag Car Racer
27-2021,Professional Figure Skater
27-2021,Professional Football Player
27-2021,Professional Golfer
27-2021,Professional Hockey Player
27-2021,Professional Horse Racer
27-2021,Professional Ice Skater
27-2021,Professional Jockey
27-2021,Professional Kick Boxer
27-2021,Professional Motocross Racer
27-2021,Professional Prize Fighter
27-2021,Professional Pugilist
27-2021,Professional Race Car Driver
27-2021,Professional Roller Skater
27-2021,Professional Skater
27-2021,Professional Skier
27-2021,Professional Snowboarder
27-2021,Professional Soccer Player
27-2021,Professional Softball Player
27-2021,Professional Stock Car Driver
27-2021,Professional Surfer
27-2021,Professional Swimmer
27-2021,Professional Tennis Player
27-2021,Professional Volleyball Player
27-2021,Professional Wrestler
27-2022,Athletic Coach
27-2022,Baseball Coach
27-2022,Baseball Scout
27-2022,Basketball Coach
27-2022,Boxing Coach
27-2022,Coach
27-2022,Football Coach
27-2022,Hockey Scout
27-2022,Ice Skating Coach
27-2022,Riding Coach
27-2022,Ski Coach
27-2022,Tennis Coach
27-2023,Athletic Events Scorer
27-2023,Baseball Umpire
27-2023,Diving Judge
27-2023,Dressage Judge
27-2023,Equestrian Events Judge
27-2023,Handicapper
27-2023,Horse Show Judge
27-2023,Paddock Judge
27-2023,Pit Steward
27-2023,Placing Judge
27-2023,Race Starter
27-2031,Ballerina
27-2031,Ballet Company Member
27-2031,Ballet Dancer
27-2031,Ballet Soloist
27-2031,Burlesque Dancer
27-2031,Dance Artist
27-2031,Discotheque Dancer
27-2031,Exotic Dancer
27-2031,Go-Go Dancer
27-2031,Line Dancer
27-2031,Soft Shoe Dancer
27-2031,Tap Dancer
27-2032,Dance Director
27-2032,Dance Master
27-2041,Choir Director
27-2041,Choirmaster
27-2041,Chorus Master
27-2041,Composer
27-2041,Maestro
27-2041,Music Adapter
27-2041,Music Arranger
27-2041,Music Copyist
27-2041,Music Director
27-2041,Music Minister
27-2041,Music Pastor
27-2041,Orchestra Conductor
27-2041,Orchestra Director
27-2041,Orchestrator
27-2041,Songwriter
27-2042,Accompanist
27-2042,Baritone
27-2042,Bassoonist
27-2042,Bugler
27-2042,Cellist
27-2042,Choir Member
27-2042,Church Organist
27-2042,Clarinetist
27-2042,Concert Pianist
27-2042,Concert Singer
27-2042,Double Bass Player
27-2042,English Horn Player
27-2042,Flutist
27-2042,Guitar Player
27-2042,Guitarist
27-2042,Harpist
27-2042,Horn Player
27-2042,Instrumentalist
27-2042,Musician
27-2042,Oboist
27-2042,Opera Singer
27-2042,Organist
27-2042,Percussionist
27-2042,Pianist
27-2042,Piano Player
27-2042,Piccoloist
27-2042,Rapper
27-2042,Soloist
27-2042,Tenor
27-2042,Timpanist
27-2042,Trombonist
27-2042,Trumpet Player
27-2042,Trumpeter
27-2042,Violinist
27-2042,Violist
27-2042,Vocalist
27-2091,Club DJ
27-2091,Deejay
27-2091,DJ
27-2099,Acrobat
27-2099,Aerialist
27-2099,Amusement Park Entertainer
27-2099,Bareback Rider
27-2099,Baton Twirler
27-2099,Clown
27-2099,Comedian
27-2099,Fortune Teller
27-2099,Impersonator
27-2099,Juggler
27-2099,Magician
27-2099,Marionette Performer
27-2099,Palmist
27-2099,Professional Poker Player
27-2099,Prompter
27-2099,Puppeteer
27-2099,Ringmaster
27-2099,Rodeo Performer
27-2099,Story Teller
27-2099,Stunt Performer
27-2099,Tumbler
27-2099,Ventriloquist
27-2099,Wire Walker
27-3011,Commercial Announcer
27-3011,Game Show Host
27-3011,Radio Artist
27-3011,Radio Disc Jockey
27-3011,Radio Host
27-3011,Talk Show Host
27-3011,Television Host
27-3023,Book Critic
27-3023,Book Reviewer
27-3023,Columnist
27-3023,Correspondent
27-3023,Desk Reporter
27-3023,Film Critic
27-3023,Foreign Correspondent
27-3023,Investigative Reporter
27-3023,Journalist
27-3023,Market News Reporter
27-3023,Movie Critic
27-3023,News Anchor
27-3023,News Commentator
27-3023,News Reporter
27-3023,Newscaster
27-3023,Newspaper Columnist
27-3023,Newspaper Correspondent
27-3023,Political Reporter
27-3023,Press Writer
27-3023,Society Reporter
27-3031,Environmental Communications Specialist
27-3031,Lobbyist
27-3031,Media Relations Specialist
27-3031,Press Agent
27-3031,Press Secretary
27-3031,Public Affairs Officer
27-3031,Public Relations Counselor
27-3031,Public Relations Officer
27-3031,Public Relations Representative
27-3031,Publicist
27-3031,Publicity Agent
27-3031,Publicity Writer
27-3041,Advertising Editor
27-3041,Art Editor
27-3041,Book Editor
27-3041,Copy Desk Chief
27-3041,Copy Editor
27-3041,Index Editor
27-3041,Manuscript Editor
27-3041,Newspaper Photo Editor
27-3041,Publications Editor
27-3041,Rewrite Editor
27-3041,Scientific Publications Editor
27-3041,Sports Editor
27-3041,Technical Editor
27-3042,Assembly Instructions Writer
27-3042,Documentation Writer
27-3042,Engineering Writer
27-3042,Handbook Writer
27-3042,Specifications Writer
27-3042,Technical Communicator
27-3043,Advertising Copy Writer
27-3043,Advertising Copywriter
27-3043,Author
27-3043,Biographer
27-3043,Copy Writer
27-3043,Copywriter
27-3043,Lyricist
27-3043,Novelist
27-3043,Playwright
27-3043,Poet
27-3043,Program Writer
27-3043,Radio Script Writer
27-3043,Screen Writer
27-3043,Short Story Writer
27-3043,Song Lyricist
27-3043,Television Writer
27-3043,Verse Writer
27-3091,American Sign Language Interpreter
27-3091,Court Interpreter
27-3091,Deaf Interpreter
27-3091,Diplomatic Interpreter
27-3091,Language Translator
27-3091,Translator
27-3092,Court Recording Monitor
27-3092,Court Stenographer
27-3092,Court Transcriber
27-3092,Deposition Reporter
27-3092,Realtime Captioner
27-3092,Stenocaptioner
27-3092,Voice Writing Reporter
27-3099,Public Address Announcer
27-3099,Stage Technician
27-3099,Train Announcer
27-3099,Train Caller
27-4011,Audio-Visual Production Specialist
27-4011,Event AV Operator
27-4011,Video Control Operator
27-4011,Video Equipment Technician
27-4011,Video Production Assistant
27-4012,Broadcast Engineer
27-4012,Broadcast Maintenance Engineer
27-4012,Broadcast Operations Engineer
27-4012,Radio Station Audio Engineer
27-4012,Radio/Television Technician
27-4012,Remote Broadcast Engineer
27-4012,Telecasting Engineer
27-4012,Television Audio Engineer
27-4014,Audio Recording Engineer
27-4014,Disc Recordist
27-4014,Dub Room Engineer
27-4014,Film Sound Engineer
27-4014,Play Back Operator
27-4014,Recording Engineer
27-4014,Sound Assistant
27-4014,Sound Cutter
27-4014,Sound Designer
27-4014,Sound Editor
27-4014,Sound Effects Technician
27-4015,Dimmer Board Operator
27-4015,Gaffer
27-4015,Lamp Operator
27-4015,Spotlight Operator
27-4021,Advertising Photographer
27-4021,Aerial Photographer
27-4021,Industrial Photographer
27-4021,Marine Photographer
27-4021,Medical Photographer
27-4021,News Photographer
27-4021,Newspaper Photojournalist
27-4021,Photojournalist
27-4021,Portrait Photographer
27-4021,School Photographer
27-4021,Wedding Photographer
27-4031,Electronic News Gathering Camera Operator
27-4031,Motion Picture Camera Operator
27-4031,Movie Shot Camera Operator
27-4031,News Camera Operator
27-4031,News Videographer
27-4031,Television Camera Operator
27-4031,Video Camera Operator
27-4032,Cue Selector
27-4032,Electronic News Gathering Editor
27-4032,Film Editor
27-4032,Movie Editor
27-4032,News Video Editor
27-4032,News Videotape Editor
27-4032,Tape Editor
27-4032,Television News Video Editor
27-4032,Video Tape Transferrer
27-4099,Satellite Communications Operator
29-1011,Chiropractic Doctor
29-1011,Chiropractic Physician
29-1021,Family Dentist
29-1022,Dental Surgeon
29-1022,Maxillofacial Surgeon
29-1022,Oral Surgeon
29-1023,Dentofacial Orthopedics Dentist
29-1023,Invisible Braces Orthodontist
29-1023,Pediatric Orthodontist
29-1024,Maxillofacial Prosthetics Dentist
29-1024,Maxillofacial Prosthodontist
29-1024,Reconstructive Dentist
29-1029,Endodontist
29-1029,Maxillofacial Pathology
29-1029,Oral Pathologist
29-1029,Pediatric Dentist
29-1029,Pedodontist
29-1029,Periodontist
29-1029,Public Health Dentist
29-1031,Clinical Dietitian
29-1031,Dietitian
29-1031,Nutritionist
29-1031,Pediatric Dietician
29-1031,Public Health Dietitian
29-1031,Public Health Nutritionist
29-1031,Research Dietitian
29-1031,Sports Nutritionist
29-1031,Therapeutic Dietitian
29-1041,Doctor of Optometry
29-1051,Apothecary
29-1051,Clinical Pharmacist
29-1051,Druggist
29-1051,Hospital Pharmacist
29-1051,Registered Pharmacist
29-1071,Anesthesiologist Assistant
29-1071,Certified Physician's Assistant
29-1071,Family Practice Physician Assistant
29-1071,Orthopaedic Physician Assistant
29-1071,Orthopedic Physician Assistant
29-1071,Pediatric Physician Assistant
29-1071,Radiology Practitioner Assistant
29-1081,Chiropodist
29-1081,Doctor of Podiatric Medicine
29-1081,Foot and Ankle Surgeon
29-1081,Foot Doctor
29-1081,Foot Orthopedist
29-1081,Orthopedic Podiatrist
29-1081,Podiatric Physician
29-1122,Occupational Therapist
29-1122,OT
29-1122,Registered Occupational Therapist
29-1123,Cardiopulmonary Physical Therapist
29-1123,Geriatric Physical Therapist
29-1123,Orthopedic Physical Therapist
29-1123,Pediatric Physical Therapist
29-1123,Physiotherapist
29-1123,PT
29-1123,Pulmonary Physical Therapist
29-1123,Sports Physical Therapist
29-1124,Radiation Therapy Technologist
29-1124,Registered Radiation Therapist
29-1125,Certified Recreational Therapist
29-1125,Certified Therapeutic Recreation Specialist
29-1125,CTRS
29-1125,Drama Therapist
29-1125,Therapeutic Recreation Specialist
29-1126,Certified Respiratory Therapist
29-1126,CRT
29-1126,Inhalation Therapist
29-1126,Oxygen Therapist
29-1126,Registered Respiratory Therapist
29-1126,Respiratory Therapist
29-1126,RRT
29-1127,Language Pathologist
29-1127,Public School Speech Clinician
29-1127,Public School Speech Therapist
29-1127,Speech and Language Specialist
29-1127,Speech Clinician
29-1127,Speech Pathologist
29-1127,Speech Therapist
29-1128,Applied Exercise Physiologist
29-1128,Clinical Exercise Physiologist
29-1128,Kinesiotherapist
29-1129,Art Therapist
29-1129,Auriculotherapist
29-1129,Educational Therapist
29-1129,Hydrotherapist
29-1129,Music Therapist
29-1129,Peripatologist
29-1131,Animal Pathologist
29-1131,Animal Surgeon
29-1131,Doctor of Veterinary Medicine
29-1131,Doctor of Veterinary Medicine (DVM)
29-1131,Equine Veterinarian
29-1131,Large Animal Veterinarian
29-1131,Poultry Pathologist
29-1131,Public Health Veterinarian
29-1131,Small Animal Veterinarian
29-1131,Veterinary Cardiologist
29-1131,Veterinary Medicine Scientist
29-1131,Veterinary Radiologist
29-1131,Wildlife Veterinarian
29-1141,CCU Nurse
29-1141,Clinical Nurse Specialist
29-1141,CNS
29-1141,Community Health Nurse
29-1141,Coronary Care Unit Nurse
29-1141,Emergency Room RN
29-1141,Endoscopy Registered Nurse
29-1141,Hospice Registered Nurse
29-1141,Obstetrical Nurse
29-1141,Oncology Registered Nurse
29-1141,PACU Nurse
29-1141,Pediatric Registered Nurse
29-1141,Post-Anesthesia Care Unit Nurse
29-1141,Psychiatric Nurse
29-1141,RN
29-1141,Triage Registered Nurse
29-1151,Certified Registered Nurse Anesthetist
29-1151,Certified Registered Nurse Anesthetist (CRNA)
29-1151,DNAP
29-1151,Doctor of Nurse Anesthesia Practice
29-1161,Certified Nurse Midwife
29-1161,Certified Nurse Midwife (CNM)
29-1171,Acute Care Nurse Practitioner
29-1171,Adult Nurse Practitioner
29-1171,Cardiology Nurse Practitioner
29-1171,Certified Nurse Practitioner
29-1171,Certified Pediatric Nurse Practitioner
29-1171,Certified Registered Nurse Practitioner
29-1171,Dermatology Nurse Practitioner
29-1171,Electrophysiology Nurse Practitioner
29-1171,Emergency Medicine Nurse Practitioner
29-1171,Family Health Nurse Practitioner
29-1171,Family Practice Nurse Practitioner
29-1171,Gastroenterology Nurse Practitioner
29-1171,Gerontological Nurse Practitioner
29-1171,Internal Medicine Nurse Practitioner
29-1171,Neurosurgical Nurse Practitioner
29-1171,NP
29-1171,Obstetrics-Gynecology Nurse Practitioner
29-1171,Orthopedic Nurse Practitioner
29-1171,Palliative Care Nurse Practitioner
29-1171,Pediatric Nurse Practitioner
29-1171,Surgical Nurse Practitioner
29-1181,Clinical Audiologist
29-1181,Dispensing Audiologist
29-1181,Educational Audiologist
29-1181,Hearing Therapist
29-1181,Licensed Audiologist
29-1181,Pediatric Audiologist
29-1211,Ambulatory Anesthesiologist
29-1211,Anaesthesiologist
29-1211,Anesthetist
29-1211,Attending Anesthesiologist
29-1211,Obstetrical Anesthesiologist
29-1211,Staff Anesthetist
29-1212,Electrophysiology Cardiologist
29-1212,Interventional Cardiologist
29-1213,Dermatopathologist
29-1213,Procedural Dermatologist
29-1214,Critical Care Physician
29-1214,Disaster Medicine Physician
29-1214,Emergency Medicine Specialist
29-1215,Board Certified Family Physician
29-1215,Family Physician
29-1215,Family Practice Medical Doctor
29-1215,Family Practice Physician
29-1215,Family Practitioner
29-1215,General Practitioner
29-1215,GP Doctor
29-1216,General Internal Medicine Doctor
29-1216,General Internist
29-1216,Internal Medicine Physician
29-1216,Internist
29-1217,Clinical Neuromuscular Pathologist
29-1217,Epileptologist
29-1217,Headache Specialist
29-1218,Gynecological Oncologist
29-1218,Gynecologist
29-1218,Maternal-Fetal Medicine Physician
29-1218,OB Specialist
29-1218,OB/GYN
29-1218,OB/GYN Physician
29-1218,Obstetrician
29-1218,Obstetrician/Gynecologist
29-1221,General Pediatrician
29-1221,Internal Medicine Pediatrician
29-1221,Neonatal Doctor
29-1221,Neonatologist
29-1221,Paediatrician
29-1221,Pediatric Cardiologist
29-1221,Pediatrist
29-1221,Primary Care Pediatrician
29-1222,Clinical Pathologist
29-1222,Immunopathologist
29-1222,Neuropathologist
29-1223,Addiction Psychiatrist
29-1223,Child Psychiatrist
29-1223,Clinical Psychiatrist
29-1223,Forensic Psychiatrist
29-1223,Geriatric Psychiatrist
29-1223,Neuropsychiatrist
29-1223,Pediatric Psychiatrist
29-1223,Staff Psychiatrist
29-1224,Diagnostic Radiologist
29-1224,Interventional Radiologist
29-1229,Gastroenterologist
29-1229,Immunologist
29-1229,Nephrologist
29-1229,Oncologist
29-1229,Physiatrist
29-1229,Pulmonary Physician
29-1229,Pulmonologist
29-1229,Rheumatologist
29-1241,Cornea and External Disease Physician
29-1241,Viteroretinal Disease Physician
29-1242,Joint Preservationist
29-1242,Orthopaedic Surgeon
29-1242,Orthopedic Sports Medicine Physician
29-1242,Orthopedic Surgeon
29-1243,Pediatric Neurosurgeon
29-1243,Pediatric Vascular Surgeon
29-1249,Aviation Medicine Specialist
29-1249,Brain Surgeon
29-1249,Cardiac Surgeon
29-1249,Cardiovascular Surgeon
29-1249,Colorectal Surgeon
29-1249,Neurological Surgeon
29-1249,Neurosurgeon
29-1249,Otolaryngologist
29-1249,Plastic Surgeon
29-1249,Reconstructive Surgeon
29-1249,Surgical Oncologist
29-1249,Thoracic Surgeon
29-1249,Urologist
29-1249,Vascular Surgeon
29-1291,Acupuncture Physician
29-1291,Licensed Acupuncturist
29-1292,Oral Hygienist
29-1292,RDH
29-1292,Registered Dental Hygienist
29-1299,Homeopathic Doctor
29-1299,Hypnotherapist
29-1299,Naturopath
29-1299,Naturopathic Doctor
29-1299,Naturopathic Physician
29-2011,Biochemistry Technologist
29-2011,Blood Bank Laboratory Technologist
29-2011,Chief Medical Technologist
29-2011,Clinical Laboratory Technologist
29-2011,Cytogenetic Technologist
29-2011,Cytologist
29-2011,Cytotechnologist
29-2011,Histologist Technologist
29-2011,Histotechnologist
29-2011,Immunohematologist
29-2011,Pathology Laboratory Technologist
29-2011,Tissue Technologist
29-2012,Blood Bank Laboratory Technician
29-2012,Hematology Technician
29-2012,Hemodialysis Technician
29-2012,Histologic Aide
29-2012,Histologic Technician
29-2012,Histology Technician
29-2012,Histotechnician
29-2012,Neurology Technician
29-2012,Pathology Technician
29-2012,Serology Technician
29-2031,Cardiac Catheterization Laboratory Technologist
29-2031,Cardiac Catheterization Technologist
29-2031,Cardiac Monitor Technician
29-2031,Cardiac Technician
29-2031,Cardiopulmonary Technologist
29-2031,Cardiovascular Interventional Technologist
29-2031,Cardiovascular Technologist
29-2031,EKG Technician
29-2031,Electrocardiogram Technician
29-2031,Electrocardiograph Operator
29-2031,Pulmonary Function Technologist
29-2032,Cardiac/Vascular Sonographer
29-2032,Echocardiogram Technician
29-2032,Echocardiographer
29-2032,Echocardiographic Technologist
29-2032,Echocardiography Technician
29-2032,Echocardiology Technologist
29-2032,Registered Diagnostic Medical Sonographer
29-2032,Sonographer
29-2032,Ultrasonographer
29-2032,Ultrasound Technician
29-2032,Ultrasound Technologist
29-2033,Certified Nuclear Medicine Technologist
29-2033,Isotope Technologist
29-2033,Nuclear Cardiology Technologist
29-2033,Nuclear Medical Technologist
29-2033,Radioisotope Technologist
29-2033,Registered Nuclear Medicine Technologist
29-2034,Computed Axial Tomography Technologist
29-2034,Computed Tomography (CT) Scanner Operator
29-2034,Radiologic Technician
29-2034,Registered Radiologic Technologist
29-2034,Skiagrapher
29-2034,X-Ray Technician
29-2035,Computed Tomography/Magnetic Resonance Imaging (CT/MRI) Technologist
29-2035,MRI Technologist
29-2036,Certified Medical Dosimetrist
29-2036,Qualified Medical Dosimetrist
29-2042,EMT
29-2042,EMT-B
29-2042,EMT-I/85
29-2042,EMT-I/99
29-2043,Ambulance Driver-Paramedic
29-2043,Flight Paramedic
29-2051,Clinical Dietetic Technician
29-2051,Cook Chill Technician
29-2051,Dietary Aide
29-2051,Dietary Technician
29-2051,DTR
29-2051,Nutrition Technician
29-2051,Registered Diet Technician
29-2052,Certified Pharmacy Technician
29-2052,CPHT
29-2052,Pharmacist Technician
29-2052,Pharmacy Laboratory Technician
29-2053,Behavioral Health Technician
29-2053,Mental Health Technician
29-2055,Certified Surgical Technologist
29-2055,Operating Room Technician
29-2055,OR Tech
29-2055,Surgical Scrub Technologist
29-2056,Certified Veterinary Technician
29-2056,Licensed Veterinary Technician
29-2056,LVT
29-2056,Registered Veterinary Technician
29-2056,Veterinary Lab Tech
29-2056,Veterinary Laboratory Technician
29-2056,Veterinary Surgery Technician
29-2056,Veterinary Surgery Technologist
29-2056,Veterinary Technologist
29-2056,Veterinary X-Ray Operator
29-2057,Ocular Care Technologist
29-2057,Ophthalmic Technologist
29-2061,Licensed Practical Nurse
29-2061,Licensed Vocational Nurse
29-2061,LP Nurse
29-2061,LPN
29-2061,LVN
29-2061,Pediatric Licensed Practical Nurse
29-2061,Triage Licensed Practical Nurse
